regla,H,n_raw,n_indep,p_up,base_up,lift,ci_lo,ci_hi,mean_ret,base_ret,edge_ret,lift_IS,lift_OOS,yrs_ok,n_yrs,signif,universo
C20 rsi2<10 & px>ema200 & SPY>ema200,10,17144,7725,0.5803236245954693,0.5690746346928559,0.01124898990261336,0.5693183923014283,0.5913288568895102,0.007183333988983595,0.007186599201579938,-3.2652125963429993e-06,0.015252201939059962,0.003746986029366628,0.6470588235294118,17,2.003412524155497,acciones+ETFs
C20 rsi2<10 & px>ema200 & SPY>ema200,21,17144,5674,0.5890024673951357,0.5894247488840954,-0.00042228148895961937,0.5762001211121704,0.601804813678101,0.013845143564961573,0.015210966521968631,-0.0013658229570070578,-0.0031610956256008516,0.0026143148256457804,0.5294117647058824,17,0.06465000243448707,acciones+ETFs
C21 rsi2<10 & px>ema200 & SPY castigado,3,6667,4278,0.5705937353903693,0.5430094413145261,0.027584294075843174,0.5557605860624899,0.5854268847182487,0.003666319472169996,0.0021856427279600783,0.0014806767442099179,0.024174882760556127,0.03205882562675155,0.5625,16,3.644891263046569,acciones+ETFs
C21 rsi2<10 & px>ema200 & SPY castigado,5,6667,3833,0.5854422123662927,0.5523930265640531,0.03304918580223959,0.5698459254031318,0.6010384993294535,0.006423547976870352,0.003626211831220274,0.002797336145650078,0.03288059107176455,0.03139340150207315,0.625,16,4.153322154522721,acciones+ETFs
C21 rsi2<10 & px>ema200 & SPY castigado,10,6667,3279,0.6120768526989936,0.5690746346928559,0.04300221800613768,0.5953981914425285,0.6287555139554587,0.010471978085275408,0.007186599201579938,0.0032853788836954704,0.04007996967612282,0.04512073492721114,0.75,16,5.053424012635234,acciones+ETFs
C21 rsi2<10 & px>ema200 & SPY castigado,21,6667,2577,0.6041909196740396,0.5894247488840954,0.014766170789944244,0.5853097525786068,0.6230720867694723,0.016378961785188384,0.015210966521968631,0.001167995263219753,0.03550040822577638,-0.0279756952313438,0.5625,16,1.532833992835726,acciones+ETFs
C22 IBS<0.2 & rsi14<40 & px>ema200,3,4648,3631,0.5678876342605342,0.5430094413145261,0.024878192946008126,0.5517747792097459,0.5840004893113225,0.004337308145522964,0.0021856427279600783,0.002151665417562886,0.027904032587876215,0.019975979009804745,0.6470588235294118,17,3.026233278986162,acciones+ETFs
C22 IBS<0.2 & rsi14<40 & px>ema200,5,4648,3159,0.5948084836973726,0.5523930265640531,0.04241545713331951,0.577688631639703,0.6119283357550422,0.008251749828175404,0.003626211831220274,0.00462553799695513,0.049562589717140004,0.031472020004083,0.7647058823529411,17,4.856017195783086,acciones+ETFs
C22 IBS<0.2 & rsi14<40 & px>ema200,10,4648,2631,0.6066134549600912,0.5690746346928559,0.03753882026723532,0.5879470184435741,0.6252798914766083,0.012752229871509433,0.007186599201579938,0.005565630669929495,0.04637196899727292,0.02415032520999838,0.7647058823529411,17,3.941624726212569,acciones+ETFs
C22 IBS<0.2 & rsi14<40 & px>ema200,21,4648,2234,0.6199641897940913,0.5894247488840954,0.03053944090999594,0.5998357529165607,0.6400926266716219,0.019901288291388465,0.015210966521968631,0.004690321769419834,0.04239320706488392,0.012617809807849878,0.7058823529411765,17,2.973768134494874,acciones+ETFs
V01 rsi2>95,3,30072,16664,0.5313850216034566,0.5430094413145261,-0.011624419711069534,0.5238083375062177,0.5389617057006955,0.0011145610830998235,0.0021856427279600783,-0.0010710816448602548,-0.015415357810764863,-0.00612871897106837,0.5882352941176471,17,3.007102096548987,acciones+ETFs
V01 rsi2>95,5,30072,14160,0.541454802259887,0.5523930265640531,-0.010938224304166133,0.5332475718800976,0.5496620326396763,0.0021924942170054498,0.003626211831220274,-0.0014337176142148241,-0.015455712128756627,-0.004398116319263123,0.6470588235294118,17,2.612199078627044,acciones+ETFs
