feature,n,ic_pooled,ic_ts,ic_xs,ic_is,ic_oos,ts_consist,yr_consist,d10,d1,d10_d1,abs_ic
adx14,350562,-0.011600255661328652,-0.015176105563199517,0.0016350514465419508,-0.00827120775379247,-0.01989726646674086,0.5054945054945055,0.7647058823529411,0.03445648169952247,0.019307283178105036,0.015149198521417436,0.011600255661328652
ret_5,352473,0.010305263069062048,-0.008579016272790363,0.011710382085779977,0.0026534582146560673,0.018451284930407354,0.3956043956043956,0.47058823529411764,0.05434039876304816,0.03979048596801484,0.014549912795033315,0.010305263069062048
rsi2,352746,0.008382573535322636,-0.005208662191780543,0.009207066688068638,0.0027653641064928295,0.011917966793837538,0.38461538461538464,0.5294117647058824,0.027918382005949705,0.020503706082886194,0.00741467592306351,0.008382573535322636
vol_ratio_21_63,347195,-0.008199111001224592,-0.008014126898313047,-0.013146424585423668,-0.00664870688199713,-0.010484637945368764,0.5714285714285714,0.7058823529411765,0.02850111009593407,0.03598908782904676,-0.0074879777331126884,0.008199111001224592
dollar_vol_trend,347559,-0.0072063391832956685,-0.020006479431253846,-0.0020510531581634187,-0.015263597693032555,0.0026086725266849867,0.6373626373626373,0.5294117647058824,0.048189936963484434,0.04060831585305266,0.0075816211104317716,0.0072063391832956685
macd_hist_norm,349925,0.006356541835781726,0.002064874173157321,0.0010203288403999825,0.003911774841081967,0.010716916971026022,0.4725274725274725,0.6470588235294118,0.049628675412728904,0.04829698864284214,0.001331686769886764,0.006356541835781726
bench_px_ema200,334819,-0.005242996757488063,-0.009181994918830922,0.017031586474183586,-0.016513536174520758,0.02207187409683211,0.5384615384615384,0.5882352941176471,,0.01907900159604123,,0.005242996757488063
vol_ratio_20,351199,-0.004195501250915806,-0.0019052459119690444,-0.013335967206080317,-0.010375119533855311,0.006096249073281728,0.5714285714285714,0.5882352941176471,0.028818787669096204,0.036937940471287095,-0.008119152802190891,0.004195501250915806
down_streak,352928,-0.0029825520353277324,0.0035430018913964363,-0.0058879042284039965,0.0012314708327592462,-0.005512731092040324,0.3516483516483517,0.47058823529411764,,0.021694591865591934,,0.0029825520353277324
bb_bw_rank120,345830,0.0025890697834561474,0.002215955662765872,0.0016425218389836294,0.005508016924393996,-0.001352391084667871,0.45054945054945056,0.5294117647058824,0.02604232663703703,0.025996753477075994,4.557315996103414e-05,0.0025890697834561474
bar_pos,352927,0.002559490039688605,-0.0031489823817752657,0.00549821053743859,-0.00019632209098892665,0.0037654150989709723,0.38461538461538464,0.47058823529411764,0.0249999086683975,0.02662722597098722,-0.0016273173025897203,0.002559490039688605
mom_accel,347195,0.0019310856721307748,-0.0033994878029036603,-0.007199915790935623,-0.000246921284127495,0.005908241797193243,0.4725274725274725,0.47058823529411764,0.04845344700436738,0.057589298217770285,-0.009135851213402907,0.0019310856721307748
macd_hist_slope,349470,0.000803345703965895,-0.0007879728754870566,-0.0010777857675639416,-9.197346012604162e-05,0.001205212098943523,0.4945054945054945,0.5294117647058824,0.04886609624318673,0.04801833801844024,0.0008477582247464893,0.000803345703965895
atr_pct_rank252,340370,-0.0005148232036327992,0.003846086328114709,-0.012276487272213771,-0.02005387571099256,0.019315115856321147,0.45054945054945056,0.5294117647058824,0.02858714225738719,0.035972265666451494,-0.007385123409064304,0.0005148232036327992
