condicion,asset,horizonte_h,periodo,n,ret_medio,win_rate,base_ret_medio,base_win_rate
rsi_sobreventa,BNB,24,OOS,68,0.002866071571879065,0.6470588235294118,0.0011036485667066595,0.5324436263230556
rsi_sobreventa,BNB,72,IS,178,0.0024251899927582015,0.5224719101123596,0.0014433553553708203,0.528150747635032
rsi_sobreventa,BNB,72,OOS,68,0.006965150024385283,0.6911764705882353,0.0030451661206450753,0.5486272684969753
div_alcista,BNB,4,IS,394,-0.0006282571808990685,0.5304568527918782,8.373573831764305e-05,0.5203692401586817
div_alcista,BNB,4,OOS,147,3.121454989166634e-05,0.4897959183673469,0.00016830012232247913,0.5068712780577187
div_alcista,BNB,8,IS,394,-0.0017063717057970698,0.5101522842639594,0.00016203353152345024,0.5191486115349405
div_alcista,BNB,8,OOS,147,0.00042797536850084505,0.5238095238095238,0.0003442857266116368,0.5197157267308574
div_alcista,BNB,24,IS,394,0.0016640160222412595,0.6192893401015228,0.00045667808205598795,0.5216661580714068
div_alcista,BNB,24,OOS,147,-0.0019012417175860656,0.48299319727891155,0.0011036485667066595,0.5324436263230556
div_alcista,BNB,72,IS,394,0.0016791008409586742,0.5634517766497462,0.0014433553553708203,0.528150747635032
div_alcista,BNB,72,OOS,147,0.009732218441304794,0.6462585034013606,0.0030451661206450753,0.5486272684969753
div_bajista,BNB,4,IS,558,0.0008169808556052774,0.521505376344086,-8.373573831764305e-05,0.47963075984131825
div_bajista,BNB,4,OOS,170,0.0001799860265801511,0.5470588235294118,-0.00016830012232247913,0.49221255153458543
div_bajista,BNB,8,IS,558,0.000679925153887254,0.5340501792114696,-0.00016203353152345024,0.4808513884650595
div_bajista,BNB,8,OOS,170,0.000433311325019121,0.4764705882352941,-0.0003442857266116368,0.47959651535992665
div_bajista,BNB,24,IS,558,-5.955007345857237e-06,0.5017921146953405,-0.00045667808205598795,0.47833384192859324
div_bajista,BNB,24,OOS,170,-0.0008732811423287745,0.5294117647058824,-0.0011036485667066595,0.46732627703635526
div_bajista,BNB,72,IS,558,0.0006005514551302787,0.496415770609319,-0.0014433553553708203,0.47184925236496794
div_bajista,BNB,72,OOS,166,0.0029800244096253176,0.5481927710843374,-0.0030451661206450753,0.45137273150302465
ema20_toque,BNB,4,IS,1389,-0.0001731052651945013,0.48740100791936647,6.518864872083854e-05,0.48497101007018617
