condicion,horizonte_h,periodo,n,ret_medio,win_rate,base_ret_medio,base_win_rate,edge,edge_neto_costo
ema20_toque,24,IS,8322.0,0.0008036700217539443,0.49663542417688056,0.000832470598216799,0.4892439040388526,-2.8800576462854714e-05,-0.0010288005764628547
ema20_toque,24,OOS,2576.0,0.0006691442706534042,0.5015527950310559,0.0006661143111454007,0.4859910856995249,3.0299595080035286e-06,-0.0009969700404919965
ema20_toque,72,IS,8322.0,-0.000750366492594064,0.49351117519826965,0.0006365656102430002,0.48854967257694765,-0.0013869321028370642,-0.002386932102837064
ema20_toque,72,OOS,2544.0,0.0001684251051744081,0.47327044025157233,0.00019641562242602836,0.46487602818559803,-2.799051725162026e-05,-0.0010279905172516203
fib_0.618,4,IS,1548.0,-2.8896754828313738e-05,0.5116279069767442,8.618327913549934e-05,0.49274860619391275,-0.00011508003396381307,-0.0011150800339638132
fib_0.618,4,OOS,552.0,0.0003273036986256386,0.532608695652174,0.0001451929195809184,0.49794514884255753,0.0001821107790447202,-0.0008178892209552798
fib_0.618,8,IS,1548.0,-0.0003426939498906422,0.5,0.00014128081517091986,0.49018025173117363,-0.00048397476506156203,-0.0014839747650615622
fib_0.618,8,OOS,552.0,-0.00032058361860770357,0.5217391304347826,0.0002647833422046966,0.49339772440445384,-0.0005853669608124002,-0.0015853669608124
fib_0.618,24,IS,1548.0,0.00015356930419861982,0.5303617571059431,0.00044762235013532666,0.49020922729936334,-0.00029405304593670687,-0.001294053045936707
fib_0.618,24,OOS,552.0,0.0012845554692750138,0.5380434782608695,0.0005414592308112741,0.49193732723708666,0.0007430962384637397,-0.0002569037615362603
fib_0.618,72,IS,1548.0,0.001092866995525244,0.5303617571059431,0.0018410534822040762,0.4976090291412706,-0.0007481864866788323,-0.0017481864866788323
fib_0.618,72,OOS,552.0,0.0022841420385337785,0.5362318840579711,0.0018069275492713192,0.4933844248227186,0.0004772144892624592,-0.0005227855107375408
fib_0.786,4,IS,843.0,0.00041179074361808214,0.538552787663108,9.042721614282432e-05,0.4928260135788821,0.00032136352747525783,-0.0006786364725247422
fib_0.786,4,OOS,320.0,-1.665857119151938e-05,0.56875,0.00013936538560736846,0.49703269061696675,-0.00015602395679888785,-0.001156023956798888
fib_0.786,8,IS,843.0,-0.0002068568893429588,0.5326215895610913,0.00015155009264911873,0.49034219484064623,-0.0003584069819920775,-0.0013584069819920774
fib_0.786,8,OOS,320.0,-0.00039599280072154345,0.5625,0.0002500869924065032,0.4923779100260416,-0.0006460797931280467,-0.0016460797931280467
fib_0.786,24,IS,843.0,-0.00223316821784516,0.5397390272835113,0.00046757308606714255,0.4907675217485348,-0.002700741303912303,-0.003700741303912303
fib_0.786,24,OOS,320.0,-0.00031360797600931236,0.540625,0.0005237996052258036,0.49096008485243897,-0.000837407581235116,-0.0018374075812351161
fib_0.786,72,IS,843.0,0.002988353340359757,0.5266903914590747,0.0018152910826250651,0.49779170003907836,0.0011730622577346918,0.00017306225773469175
fib_0.786,72,OOS,320.0,-0.0014360881245559485,0.484375,0.0019538926225328547,0.4927763015183794,-0.003389980747088803,-0.004389980747088803
poc_zona,4,IS,1403.0,7.930215564688719e-05,0.5367070563079116,0.00010016461038385443,0.5069809079174112,-2.0862454736967243e-05,-0.0010208624547369673
