asset,grp,period,cagr_strat,cagr_bh,sharpe_strat,sharpe_bh,maxdd_strat,maxdd_bh,exposure,n_trades
MELI,Accion,IS,0.09415418108735385,0.27898640628627214,0.4421429709418018,0.7799773691953075,-0.5391336416655772,-0.46151692507675646,0.3914944356120827,32
MELI,Accion,OOS,0.14039551139963624,0.19243234019263844,0.52955522251443,0.6011389076464939,-0.6520590478206917,-0.6912323378248623,0.4873341375150784,30
META,Accion,IS,0.1752056962176225,0.24722988888108643,0.9149109433521698,0.7895005085121808,-0.3318972452557699,-0.536228103507717,0.34846113719353156,35
META,Accion,OOS,0.08142896988015358,0.17627725386204807,0.40286637743242476,0.591904338833563,-0.6677697589166602,-0.7673609262318317,0.5205066344993968,30
MMM,Accion,IS,0.044232054648652985,0.10673280842888788,0.37363272397497976,0.6220932049469968,-0.23655299086614234,-0.3868476836226813,0.4050079491255962,38
MMM,Accion,OOS,0.07795829531456433,0.07005693281338465,0.4654171913682137,0.3755852374334394,-0.35557964639660833,-0.540728149985106,0.41978287092882993,27
MRK,Accion,IS,0.06631257370215149,0.13309440263008665,0.5428236896444649,0.7463200248346454,-0.18301823124011818,-0.22476116690089454,0.40262321144674085,44
MRK,Accion,OOS,0.019860086770660645,0.09509355039720191,0.19933243930790065,0.4892001607610621,-0.4169368334058742,-0.43443406907931015,0.44933655006031364,23
MS,Accion,IS,0.0751382680715793,0.06835899177107785,0.42288965033438003,0.36539252949136064,-0.4754213648313148,-0.6162323148369108,0.40540540540540543,41
MS,Accion,OOS,0.07595612612079017,0.284675030287765,0.40375886985038945,0.8964363196152955,-0.4407962044249454,-0.5132582213216679,0.3902291917973462,24
MSFT,Accion,IS,0.16086054010948292,0.20571067198381243,1.0367462769956861,0.9374740042715521,-0.1661510005481387,-0.26365631835556336,0.35453100158982515,48
MSFT,Accion,OOS,0.06683414972537127,0.2019378254384252,0.37805859297823086,0.7552458371145382,-0.3446127483496373,-0.371484918467873,0.51145958986731,24
MU,Accion,IS,-0.03432385009176531,0.17389601860188253,0.07448015835664165,0.5752257208818787,-0.6940615316367973,-0.7380103625665418,0.4296502384737679,29
MU,Accion,OOS,0.12333588659021966,0.5345274623342735,0.49132217852443766,1.0494670042097325,-0.3906015379911818,-0.5762896481922279,0.44028950542822676,23
NFLX,Accion,IS,0.13072784693532524,0.4552785618857955,0.5245240638545813,0.9793272012012401,-0.7731679588876328,-0.8199043380565592,0.45747217806041335,42
NFLX,Accion,OOS,-0.05714338784081019,0.13430369378287677,-0.01127393621295659,0.5143209050345954,-0.7351133695399987,-0.7594731825161349,0.4191797346200241,19
