i,date,playbook,score,asset,regime,outcome,entry,stop,target,bars_held,mfe,mae,ret_horizon,r_mult,hit10_no_stop,risk_pct,class
2420,2025-08-19,A,75.0,KO,RISK_ON,LOSS,68.79176791415331,66.4871100579008,75.67094470556864,7.0,0.024050566627545233,-0.06910977039410249,0.006814418691403201,-1.0,False,0.033501942545342674,stock
2476,2025-11-06,A,75.0,KO,RISK_ON,WIN,68.40801177093759,65.8863432201287,75.24881294803136,59.0,0.14247652676888145,-0.02961629049489478,0.12473369575586712,2.712807428596985,True,0.03686218157096326,stock
2499,2025-12-10,A,70.0,KO,RISK_ON,LOSS,69.61873284921789,67.25315553113904,76.58060613413969,16.0,0.16229625987795848,-0.04649197844604158,0.10378153875255114,-1.0,True,0.033979034395846854,stock
2593,2026-04-28,B,80.0,KO,RISK_ON,WIN,77.86726689898849,74.151731321781,85.65399358888735,47.0,0.16762796216912523,-0.019905609403003677,0.14399805436360902,2.095721203065741,True,0.047716270586810064,stock
2631,2026-06-23,A,75.0,KO,,INCOMPLETE,,,,,,,,,,,stock
2653,2026-07-24,A,90.0,KO,,INCOMPLETE,,,,,,,,,,,stock
2026,2024-01-23,A,75.0,EWZ,RISK_ON,LOSS,29.025775391351786,27.825650756391486,31.928352930486966,15.0,0.02216237080429906,-0.10721776818220408,-0.06678648284335797,-1.0,False,0.041346858741209594,stock
2056,2024-03-06,A,75.0,EWZ,RISK_ON,LOSS,28.80845043949827,27.708880706634424,31.6892954834481,8.0,0.0006035141258911025,-0.12371757770975711,-0.12039836535172133,-1.0,False,0.03816830534405494,stock
2367,2025-06-03,A,90.0,EWZ,RISK_ON,TIMEOUT,26.0622812727735,24.800773433976886,28.66850940005085,63.0,0.09281912378844215,-0.03423582853954488,0.06454387840053699,1.3334524460150332,False,0.04840358468982053,stock
2376,2025-06-16,B,70.0,EWZ,RISK_ON,LOSS,27.084089438099472,25.88191854946983,29.79249838190942,22.0,0.08692584526477165,-0.07067145316827572,0.08445235771929216,-1.0,False,0.044386609022880295,stock
2396,2025-07-16,A,75.0,EWZ,RISK_ON,WIN,26.23232711062699,25.130954278570456,28.855559821689692,40.0,0.1477563122925345,-0.04049620250531272,0.061656404955009014,2.3817844736232323,True,0.041985327013185796,stock
2462,2025-10-17,A,70.0,EWZ,RISK_ON,WIN,28.71104948799806,27.50272827822627,31.582154436797868,17.0,0.16545536443470343,-0.004666706909292162,0.15993515462967944,2.376110694392314,True,0.04208558138137366,stock
2508,2025-12-23,A,75.0,EWZ,RISK_ON,WIN,31.324744572744198,29.787826549953,34.45721903001862,18.0,0.25510089717301976,-0.014182095817056206,0.16371159907653343,2.0381532461865,True,0.0490640241047162,stock
2555,2026-03-04,A,70.0,EWZ,RISK_ON,WIN,36.462877549705766,34.02170868003841,40.109165304676345,25.0,0.1415375896286386,-0.06411302085424597,-0.058951417462242306,1.4936646949243761,True,0.06694943004263951,stock
2568,2026-03-23,A,72.0,EWZ,NEUTRAL,WIN,35.819003121563945,32.87320168099749,39.400903433720345,11.0,0.162057615276199,-0.07273230778589634,-0.046595422826836264,1.2159340622318453,True,0.08224130165121794,stock
2595,2026-04-30,A,75.0,EWZ,RISK_ON,LOSS,39.365248338976045,37.2781443186027,43.30177317287365,9.0,0.007549036529050923,-0.15626584961596823,-0.06897573183626371,-1.0,False,0.05301894712821803,stock
2071,2024-03-27,A,82.0,IBM,RISK_ON,LOSS,178.93007599683824,171.21702487786067,196.82308359652208,11.0,0.012255235990971114,-0.14831886232766167,-0.09633375743458028,-1.0,False,0.043106510048729084,stock
2281,2025-01-29,B,90.0,IBM,RISK_ON,LOSS,240.5512572328152,230.24337374682807,264.60638295609675,35.0,0.0729006096236442,-0.1362838557234558,-0.026275757130569954,-1.0,False,0.04285108963704461,stock
2487,2025-11-21,A,75.0,IBM,RISK_ON,LOSS,295.3103847004338,272.5398274411942,324.84142317047724,54.0,0.06925607587253668,-0.2580438181258804,-0.20150294031767346,-1.0,False,0.07710720123282616,stock
2529,2026-01-26,A,75.0,IBM,RISK_ON,LOSS,293.3165400179604,273.9983675492362,322.64819401975643,12.0,0.07652443701217893,-0.2530003064719947,-0.22819279278892302,-1.0,False,0.06586117669171097,stock
2046,2024-02-21,A,75.0,GOOGL,RISK_ON,LOSS,143.65616072853092,135.97545839727246,158.02177680138402,4.0,0.23349207669465755,-0.09839230384804165,0.22714416537373228,-1.0,True,0.053465874991416494,stock
2132,2024-06-25,B,70.0,GOOGL,RISK_ON,LOSS,181.23255669280258,172.8309274021814,199.35581236208284,20.0,0.04993714771698121,-0.19281954334459206,-0.11019344395386921,-1.0,False,0.04635827824722633,stock
2150,2024-07-22,A,90.0,GOOGL,RISK_ON,LOSS,180.65702234023118,171.33968283681259,198.7227245742543,2.0,0.00856906087581999,-0.1902480403080007,-0.1011434359833967,-1.0,False,0.05157474302809694,stock
2292,2025-02-13,A,75.0,GOOGL,RISK_ON,LOSS,184.0984174978102,171.28103470787855,202.50825924759124,8.0,0.007240875151672599,-0.23975011257868728,-0.11299672937469785,-1.0,False,0.06962244957963383,stock
2506,2025-12-19,A,92.0,GOOGL,RISK_ON,WIN,309.47716491524386,287.3553792872898,340.4248814067683,26.0,0.12624239431852535,-0.06242943009568547,-0.06207415283911788,1.3989700927404998,True,0.07148115640135373,stock
2619,2026-06-04,A,90.0,GOOGL,,INCOMPLETE,,,,,,,,,,,stock
2645,2026-07-14,A,90.0,GOOGL,,INCOMPLETE,,,,,,,,,,,stock
2035,2024-02-05,A,75.0,AAPL,RISK_ON,LOSS,184.76853636353553,175.93357684020467,203.2453899998891,18.0,0.022423274842267915,-0.120788929539842,-0.026319848153143255,-1.0,False,0.04781636363643598,stock
2157,2024-07-31,A,72.0,AAPL,RISK_ON,LOSS,222.44309097566543,209.898815481738,244.687400073232,3.0,0.059700084846461055,-0.12644285221680474,0.04265491100804075,-1.0,False,0.056393190001570885,stock
2186,2024-09-11,A,75.0,AAPL,RISK_ON,WIN,220.84449248276735,208.53939999156995,242.9289417310441,60.0,0.11677788772081277,-0.038561815844627256,0.11479817302835826,1.7947406136179083,True,0.055718357985121925,stock
2205,2024-10-08,A,75.0,AAPL,RISK_ON,WIN,223.554178398676,211.7919310489651,245.9095962385436,44.0,0.15608995635852296,-0.02450828401802152,0.0787506273982772,1.9006076964039607,True,0.05261475063433907,stock
2302,2025-02-28,A,70.0,AAPL,RISK_ON,LOSS,240.51913191748446,225.88935561777748,264.5710451092329,6.0,0.009264260537503954,-0.3001777353133743,-0.16823109307640183,-1.0,False,0.060825831953883976,stock
